idpoi,title,layer,type,tipo,subcategoria,address,postcode,phone,web,description,image_uri,lat,lon,mp3_uri,lang
8615,Vila Romana de Toralla,lugares,38,Museos,Xacemento,Canido - Barrio Illa de Toralla - Carretera PO 324,36391,986810260,,"A principal particularidade deste depósito, que data dos séculos IV e V despois de Cristo, é que é a única vila de Galicia que está escavada integramente e pode ser visitada.",http://www.turismodevigo.org/sites/turismodevigo/files/lug250.jpg,42.1962806038844,-8.795211533448764,http://www.turismodevigo.org/sites/turismodevigo/files/04-vila_romana_de_toralla.mp3,gl-ES
8714,Barcos de la Batalla de la Bahía de Vigo,lugares,40,Ría de Vigo,Pecio,"Estrecho de Rande, ría de Vigo",,,,"Integrado polos restos dos buques afundidos na Batalla de Rande, coñecida internacionalmente como a ""Batalla da Baía de Vigo"", librada en outubro de 1702 entre unha escuadra franco-española e unha anglo-holandesa.",http://www.turismodevigo.org/sites/turismodevigo/files/lug358.jpg,42.2888816448946,-8.659976877087615,http://www.turismodevigo.org/sites/turismodevigo/files/03-batalla_de_rande_galego.mp3,gl-ES
8592,Praia do Rodas,lugares,36,Cies,Praias,"Illa do Faro, Islas Cíes",36211,,,É a Praia máis grande e importante do Parque Natural Illas Cíes no cal se acha integrada. Foi cualificada como a mellor praia do mundo polo prestixioso diario The Guardian.,http://www.turismodevigo.org/sites/turismodevigo/files/lug227.jpg,42.221891869113,-8.903471372054128,,gl-ES
8733,Monte da Guía,lugares,41,Turismo urbano,,,,,,Un dos lugares máis visitados de Vigo,http://www.turismodevigo.org/sites/turismodevigo/files/lug377.jpg,42.255785,-8.70188,http://www.turismodevigo.org/sites/turismodevigo/files/lug377gl.mp3,gl-ES
8685,Auditorio del Club Financiero de Vigo,lugares,37,Edificios singulares,Auditorio,García Barbón 62,36201,986447220,www.clubfinancierovigo.com,Espazo habilitado para a realización de eventos públicos.,http://www.turismodevigo.org/sites/turismodevigo/files/lug322.jpg,42.2366756596314,-8.71221986331063,,gl-ES
8698,Salida y llegada del recorrido turístico en autobús,lugares,45,Paradas do bus turístico,Punto de orixe e destino,Rúa das Avendias,36202,986291600,www.vitrasa.es,Aquí comeza e termina o percorrido  turístico en autobús descapotable pola cidade de Vigo. Trátase dunha visita guiada cunha duración aproximada de 2 horas.,http://www.turismodevigo.org/sites/turismodevigo/files/lug335.jpg,42.2405697776661,-8.72610666445775,,gl-ES
8699,Terminal de Citröen,lugares,35,Puntos de información turística,Terminal de carga,"Puerto de Bouzas, s/n",36208,,www.vigo.psa-peugeot-citroen.com,Gran superficie loxística da empresa Citröen destinada ao almacenamento e transporte dos modelos de vehículo que a marca fabrica na súa factoría de Vigo.,http://www.turismodevigo.org/sites/turismodevigo/files/lug343.jpg,42.2283198335914,-8.76003594255815,,gl-ES
8700,Factoría PSA Peugeot Citröen,lugares,35,Puntos de información turística,Fábrica,"Avda. Citroín, 3-5",36210,986215000,www.vigo.psa-peugeot-citroen.com,"A planta produce catro vehículos distintos para as dúas marcas do Grupo, conta cun equipo de 6.500 empregados e as súas exportacións representan o 23,3% das exportacións de Galicia.",http://www.turismodevigo.org/sites/turismodevigo/files/lug344.jpg,42.2077097351399,-8.74131855513648,,gl-ES
8701,Lonja de El Berbés,lugares,35,Puntos de información turística,Lonxa de altura,Puerto pesquero de Vigo,36202,986821508,www.apvigo.com,Trátase da lonxa de peixe conxelado máis importante do mundo e a máis importante de Europa no referente a peixe fresco.,http://www.turismodevigo.org/sites/turismodevigo/files/lug345.jpg,42.2370936327125,-8.73098715156788,,gl-ES
8702,Asteleiro Vulcano,lugares,40,Ría de Vigo,Construcción de barcos,"Calle de la Devesa Santa Tegra, 69",36207,986266161,www.factoriasvulcano.com,Factoría con longa tradición na construción de buques. Está afincada na ría de Vigo dende 1919.,http://www.turismodevigo.org/sites/turismodevigo/files/lug346.jpg,42.2509603220018,-8.70508897920338,,gl-ES
8703,Asteleiro Barreras,lugares,40,Ría de Vigo,Construcción de barcos,"Avenida de Beiramar, 2",36208,986242293,www.hjbarreras.es,"A empresa foi fundada en 1982  e está destinada principalmente á construción de grandes buques tipo Ro-Ro, Ferrys, offshore, etc.",http://www.turismodevigo.org/sites/turismodevigo/files/lug347.jpg,42.2269296448707,-8.73943570034223,,gl-ES
8704,Club Nautico Punta Lagoa,lugares,40,Ría de Vigo,Porto deportivo,"Camiño Lagoa, s/n",36213,986374305,www.nauticopuntalagoa.com,Club náutico deportivo. Dispón de mariña e amarres para embarcacións deportivas.,http://www.turismodevigo.org/sites/turismodevigo/files/lug348.jpg,42.2557094770781,-8.70617713914583,,gl-ES
8697,Samil,lugares,45,Paradas do bus turístico,Posible visita a pe,Samil,36212,986291600,www.vitrasa.es,Parada fronte á Praia de Samil en Vigo.,,42.2109026146444,-8.77511335112866,,gl-ES
8696,O Castro de Vigo,lugares,45,Paradas do bus turístico,Posible visita a pe,Monte O Castro,36202,986291600,www.vitrasa.es,"Parada fronte ao depósito arqueolóxico de ""O Castro de Vigo"".",http://www.turismodevigo.org/sites/turismodevigo/files/lug333.jpg,42.2307648632387,-8.72580504981379,,gl-ES
8695,AeroPorto de Vigo,lugares,35,Puntos de información turística,Aeroporto,Avda. do Aeroporto s/n,36218,986268200,,Aeroporto de Peinador.,http://www.turismodevigo.org/sites/turismodevigo/files/lug332.jpg,42.2251531230541,-8.6325065972232,,gl-ES
8684,Auditorio de la Cámara de Comercio de Vigo,lugares,37,Edificios singulares,Auditorio,"República Argentina, 18",36201,986446343,www.camaravigo.com,Espazo habilitado para a realización de eventos públicos.,http://www.turismodevigo.org/sites/turismodevigo/files/lug321.jpg,42.2366043350156,-8.71884908268981,,gl-ES
8687,Auditorio del Museo do Mar de Galicia,lugares,37,Edificios singulares,Auditorio,"Avda. Atlántida, nº 160",36208,986247750,www.museodomar.com,Espazo habilitado para a realización de eventos públicos.,http://www.turismodevigo.org/sites/turismodevigo/files/lug324.jpg,42.2241397002066,-8.76992736745358,,gl-ES
8689,Verbum - Casa das Palabras,lugares,37,Edificios singulares,Auditorio,"Avda. de Samil, nº 17",36212,986240130,www.verbum.vigo.org,Espazo habilitado para a realización de eventos públicos.,http://www.turismodevigo.org/sites/turismodevigo/files/lug326.jpg,42.2129670379203,-8.77361620143955,,gl-ES
8690,Liceo Marítimo de Bouzas,lugares,40,Ría de Vigo,Porto deportivo,"Av. Eduardo Cabello, 8",36208,986239955,www.liceobouzas.com,Club náutico deportivo. Dispón de mariña e amarres para embarcacións deportivas.,http://www.turismodevigo.org/sites/turismodevigo/files/lug327.jpg,42.2267675141582,-8.75187920193049,,gl-ES
8691,Marina Davila Sport,lugares,40,Ría de Vigo,Porto deportivo,"Muelle de reparaciones de Bouzas, s/n",36208,986239955,www.davilasport.es,Club náutico deportivo. Dispón de mariña e amarres para embarcacións deportivas.,http://www.turismodevigo.org/sites/turismodevigo/files/lug328.jpg,42.2323485951243,-8.74438591710844,,gl-ES
8692,Real Club Náutico de Vigo,lugares,40,Ría de Vigo,Porto deportivo,"Paseo de las Avenidas, s/n",36202,986447441,www.rcnauticovigo.com,Club náutico deportivo. Dispón de mariña e amarres para embarcacións deportivas.,http://www.turismodevigo.org/sites/turismodevigo/files/lug329.jpg,42.2411500670359,-8.72510280080097,,gl-ES
8683,Auditorio Martín Códax del Conservatorio Superior de Música,lugares,37,Edificios singulares,Auditorio,"Manuel Olivé, 23",36203,986471144,http://conservatoriosuperiorvigo.com,Espazo habilitado para a realización de eventos públicos.,http://www.turismodevigo.org/sites/turismodevigo/files/lug320.jpg,42.2289400649774,-8.72331004116441,,gl-ES
8693,Club nautico de Canido,lugares,40,Ría de Vigo,Porto deportivo,Muelle de Canido S/N,36390,986492415,www.cmcanido.com,Club náutico deportivo. Dispón de amarres para embarcacións deportivas.,http://www.turismodevigo.org/sites/turismodevigo/files/lug330.jpg,42.1945877417659,-8.80104103676118,,gl-ES
8694,Igrexa de San Francisco,lugares,37,Edificios singulares,Arquitectura relixiosa,Camino de San Francisco,36202,,,"Antigo mosteiro do século XVII, que ten a súa orixe nunha desaparecida Ermida do século X. Despois da desamortización en 1887 é Casa da Caridade.",http://www.turismodevigo.org/sites/turismodevigo/files/lug331.jpg,42.2360817380351,-8.73089662653396,,gl-ES
8731,Ría de Vigo,lugares,41,Turismo urbano,,,,,,Un dos lugares máis visitados de Vigo,http://www.turismodevigo.org/sites/turismodevigo/files/lug375.jpg,42.266566,-8.705965,http://www.turismodevigo.org/sites/turismodevigo/files/lug375gl.mp3,gl-ES
8722,Estación de Autobuses de Vigo,lugares,35,Puntos de información turística,Estación de autobuses,"Avenida de Madrid, 57",36204,986373411,www.vigobus.com,Estación de autobuses de Vigo.,http://www.turismodevigo.org/sites/turismodevigo/files/lug366.jpg,42.2243132602791,-8.70924641539477,,gl-ES
8723,Colexio oficial de arquitectos de Galicia,lugares,37,Edificios singulares,,"Doctor Cadaval, 5",36202,986439633,www.coagvigo.es,Edificio de corte vangardista diseñado por Irisarri e Piñera.,http://www.turismodevigo.org/sites/turismodevigo/files/lug367.jpg,42.2373,-8.724768,http://www.turismodevigo.org/sites/turismodevigo/files/lug367gl.mp3,gl-ES
8724,Mercado da Pedra,lugares,41,Turismo urbano,,Calle de las Ostras s/n,36202,,,Un dos lugares máis visitados de Vigo,http://www.turismodevigo.org/sites/turismodevigo/files/lug368.jpg,42.23989,-8.726449,http://www.turismodevigo.org/sites/turismodevigo/files/lug368gl.mp3,gl-ES
8725,Praza da Constitución,lugares,41,Turismo urbano,,Praza da Constitución s/n,36202,,,Un dos lugares máis visitados de Vigo,http://www.turismodevigo.org/sites/turismodevigo/files/lug369.jpg,42.238511,-8.726054,http://www.turismodevigo.org/sites/turismodevigo/files/lug369gl.mp3,gl-ES
8726,Praza da Porta do Sol,lugares,41,Turismo urbano,,Praza da Porta do Sol s/n,36202,,,Un dos lugares máis visitados de Vigo,http://www.turismodevigo.org/sites/turismodevigo/files/lug370.jpg,42.238025,-8.724222,http://www.turismodevigo.org/sites/turismodevigo/files/lug370gl.mp3,gl-ES
8727,Rúa dos Cesteiros,lugares,41,Turismo urbano,,Rúa dos Cesteiros s/n,36202,,,Un dos lugares máis visitados de Vigo,http://www.turismodevigo.org/sites/turismodevigo/files/lug371.jpg,42.238882,-8.726348,http://www.turismodevigo.org/sites/turismodevigo/files/lug371gl.mp3,gl-ES
8728,Rúa do Príncipe,lugares,41,Turismo urbano,,Rúa do Príncipe s/n,36202,,,Un dos lugares máis visitados de Vigo. Ideal para facer compras,http://www.turismodevigo.org/sites/turismodevigo/files/lug372.jpg,42.237019,-8.723187,http://www.turismodevigo.org/sites/turismodevigo/files/lug372gl.mp3,gl-ES
8729,Churruca,lugares,41,Turismo urbano,,Rúa Churruca s/n,36202,,,Un dos lugares máis visitados de Vigo. Ideal para tomar un viño.,http://www.turismodevigo.org/sites/turismodevigo/files/lug373.jpg,42.235521,-8.7174,http://www.turismodevigo.org/sites/turismodevigo/files/lug373gl.mp3,gl-ES
8730,Areal,lugares,41,Turismo urbano,,Rúa Areal s/n,36202,,,Un dos lugares máis visitados de Vigo,http://www.turismodevigo.org/sites/turismodevigo/files/lug374.jpg,42.239109,-8.716955,http://www.turismodevigo.org/sites/turismodevigo/files/lug374gl.mp3,gl-ES
8686,Auditorio Zona Franca de Vigo,lugares,37,Edificios singulares,Auditorio,Área Portuaria de Bouzas s/n,36208,986269700,www.zonafrancavigo.com/zonafrancavigo_es/,Espazo habilitado para a realización de eventos públicos.,http://www.turismodevigo.org/sites/turismodevigo/files/lug323.jpg,42.2297450043917,-8.75565147137398,,gl-ES
8732,Illas Cíes,lugares,41,Turismo urbano,,,,,,Un dos lugares máis visitados de Vigo,,42.22993,-8.90417,http://www.turismodevigo.org/sites/turismodevigo/files/lug376gl.mp3,gl-ES
8721,Estación de FFCC,lugares,35,Puntos de información turística,Estación de tren,Areal s/n,36201,902432343,www.adif.es/es_ES/infraestructuras/estaciones/22308/informacion_000390.shtml,Estación de ferrocarril de Vigo.,http://www.turismodevigo.org/sites/turismodevigo/files/lug365.jpg,42.2391446195105,-8.71372655426546,,gl-ES
8719,Ponte de Rande,lugares,40,Ría de Vigo,Puente,Ría de Vigo,,,,"Foi proxectado polo enxeñeiro italiano Fabrizio de Miranda, o español Florencio del Pozo (que tamén se encargou da cimentación) e por Alfredo Passaro. É todo un símbolo para os vigueses.",http://www.turismodevigo.org/sites/turismodevigo/files/lug363.jpg,42.2877663861074,-8.66049986605693,,gl-ES
8707,Porto de pasaxeiros de Vigo,lugares,40,Ría de Vigo,Porto de pasaxeiros,Estación Marítima de Ría,36202,986224757,www.apvigo.com,Espazo loxístico destinado ao atraque de grandes cruceiros así como ao transporte de persoas en transbordador a distintos puntos da Ría.,http://www.turismodevigo.org/sites/turismodevigo/files/lug351.jpg,42.2412065150138,-8.72869939382685,,gl-ES
8708,CITEXVI,lugares,41,Turismo urbano,Cidade Tecnolóxica de Vigo,"Fonte das Abelleiras, s/n",36310,986120420,www.citexvi.es,Sociedade anónima de dereito privado centrada na promoción e impulso de actividades de I+D+ i.,http://www.turismodevigo.org/sites/turismodevigo/files/lug352.jpg,42.1670883461002,-8.68379882208743,,gl-ES
8709,Conservas Albo,lugares,41,Turismo urbano,Conserveira,"Jacinto Benavente, 41",36208,986213333,www.albo.es,Fabricación de conservas de pescado e marisco.,http://www.turismodevigo.org/sites/turismodevigo/files/lug353.jpg,42.2280202083677,-8.73683376872652,,gl-ES
8710,Palacio de Oriente,lugares,41,Turismo urbano,Conserveira,"Ctra. Vigo-Baiona, 127",36213,986207168,www.palaciodeoriente.net,Fabricación de conservas de pescado e marisco.,http://www.turismodevigo.org/sites/turismodevigo/files/lug354.jpg,42.1965605674658,-8.76310647195358,,gl-ES
8711,Paypay,lugares,41,Turismo urbano,Conserveira,"Tomás Alonso, 80",36208,986233500,www.paypay.es,Fabricación de conservas de pescado e marisco.,http://www.turismodevigo.org/sites/turismodevigo/files/lug355.jpg,42.224324622832,-8.74010374787148,,gl-ES
8712,Conservas Valcarcel - Vigilante,lugares,41,Turismo urbano,Conserveira,"Muelle de bouzas, s/n (reparaciones)",36208,986298488,www.valcarcel-sa.es,Fabricación de conservas de pescado e marisco.,http://www.turismodevigo.org/sites/turismodevigo/files/lug356.jpg,42.2309925452533,-8.74732721278576,,gl-ES
8713,"Orbe, S.A.",lugares,41,Turismo urbano,Conserveira,"Tomás Alonso, 106",36208,986208411,www.orbesa.com,Fabricación de conservas de pescado e marisco.,http://www.turismodevigo.org/sites/turismodevigo/files/lug357.jpg,42.2241203156335,-8.74273416663022,,gl-ES
8706,Porto pesquero de Vigo,lugares,40,Ría de Vigo,Porto pesqueiro,Puerto pesquero de Vigo,36202,986821508,www.apvigo.com,"Espazo loxístico destinado á descarga, transporte e almacenamento de peixe tanto fresco coma conxelado.",http://www.turismodevigo.org/sites/turismodevigo/files/lug350.jpg,42.238650033308,-8.73012432955699,,gl-ES
8718,Mercante,lugares,40,Ría de Vigo,Pecio,Proximidades de Cabo Home,,,,Trátase dun barco mercante que se afundiu nesta zona cargado de pratos de porcelana.,http://www.turismodevigo.org/sites/turismodevigo/files/lug362.jpg,42.244348656916,-8.86292153204935,,gl-ES
8717,Petrolero Polycomander,lugares,40,Ría de Vigo,Pecio,"Proximidades de la Isla de Monteagudo, Islas Cíes",,,,"O 5 de maio de 1970, o petroleiro noruegués Polycommander embarrancou nas Illas Cíes cando pretendía saír da ría de Vigo pola canle do Norte. Os 39 tripulantes conseguiron abandonar o barco e non houbo danos persoais.",http://www.turismodevigo.org/sites/turismodevigo/files/lug361.jpg,42.2375430424596,-8.89576837402149,,gl-ES
8716,Anforas romanas,lugares,40,Ría de Vigo,Pecio,Ría de Vigo,,,,"Ao parecer as ánforas achadas na zona pertencían a un buque romano de mediados do século I d.C. Tras 2000 anos xa non hai restos do buque pero si mostras do seu naufraxio, como as ánforas modelo Haltern 70 encontradas.",http://www.turismodevigo.org/sites/turismodevigo/files/lug360.jpg,42.227131267498,-8.77131526376522,,gl-ES
8715,Polígonos de bateas,lugares,40,Ría de Vigo,Acuicultura,Ría de Vigo,,,,Trátase de viveiros flotantes ou fixos destinados fundamentalmente ao cultivo de mexillón e ostra. Consisten nun armazón de madeira (normalmente eucalipto) do que colgan as cordas de cultivo que poden chegar a 1.000 por batea.,http://www.turismodevigo.org/sites/turismodevigo/files/lug359.jpg,42.2681383015103,-8.68526011435946,,gl-ES
8647,Monumento homenaje a los canteros,lugares,39,Monumentos,Escultura,Eduardo Cabello,36208,,,"A obra é unha peza complexa na que se poden observar ferramentas propias deste oficio, así como inscricións en íArxinaí -o idioma dos canteiros-.",http://www.turismodevigo.org/sites/turismodevigo/files/lug282.jpg,42.2278997111598,-8.75348131981263,,gl-ES
8648,Alpide,lugares,41,Turismo urbano,Centro de arte,"Avda. de Castrelos, 115",36210,986239646,,Conta cun espazo expositivo para calquera exposición e/ou evento ademais dun fondo de galería considerable representando uns 50 artistas pictóricos galegos de distintas épocas.,,42.2156171933039,-8.73261055964621,,gl-ES
8649,Alpide,lugares,41,Turismo urbano,Centro de arte,"López de Neira, 5",36202,986239646,,Conta cun espazo expositivo para calquera exposición e/ou evento ademais dun fondo de galería considerable representando uns 50 artistas pictóricos galegos de distintas épocas.,http://www.turismodevigo.org/sites/turismodevigo/files/lug285.jpg,42.2367960595359,-8.72416186503572,,gl-ES
8650,Igrexa de la Soledad,lugares,37,Edificios singulares,Arquitectura relixiosa,Atalaya del Monte de O Castro,36203,,,"Igrexa de estilo neoclasicista, inspirada na Igrexa parisiense da Madalena de Bartolomé Vignon. Foi promovida por Leopoldo Eijo-Garay (Bispo de Madrid-Alcalá).",http://www.turismodevigo.org/sites/turismodevigo/files/lug286.jpg,42.2290677797197,-8.72743893666551,,gl-ES
8646,Monumento a Rosalía de Castro,lugares,39,Monumentos,Escultura,Rosalía de Castro,36201,,,Trátase dunha obra de Armando Rodriguez formada por un grupo plástico coa escritora galega rodeada dos seus fillos aos que lles lee un libro.,http://www.turismodevigo.org/sites/turismodevigo/files/lug281.jpg,42.238093622183,-8.71803789317284,,gl-ES
8651,Igrexa de Nuestra Señora de Fátima,lugares,37,Edificios singulares,Arquitectura relixiosa,"Vía Norte, 19",36206,,,Destaca na fachada deste templo unha torre esvelta. Todo el está realizado en cantería. O interior destaca pola súa ampla capacidade -preto de 500 persoas sentadas- e o seu retablo.,http://www.turismodevigo.org/sites/turismodevigo/files/lug287.jpg,42.2349196113619,-8.70778305465385,,gl-ES
8652,Igrexa de Alcabre,lugares,37,Edificios singulares,Arquitectura relixiosa,Avenida Atlántica,36202,,,"Igrexa de tres naves, realizada en granito. Foi deseñada polo arquitecto Desiderio Pernas no ano 1997.",http://www.turismodevigo.org/sites/turismodevigo/files/lug288.jpg,42.221375571677,-8.76485171983614,,gl-ES
8653,Igrexa de Bouzas,lugares,37,Edificios singulares,Arquitectura relixiosa,"Eduardo Cabello, 61",36208,,,"Templo de base rectangular e ábsida en semicírculo. No exterior podemos apreciar o escudo de armas dos Peña e os Correa, sendo este último -o capitán Álvaro Correa- quen a mandou construír en 1596.",http://www.turismodevigo.org/sites/turismodevigo/files/lug289.jpg,42.2264222293407,-8.75324474070383,,gl-ES
8654,Igrexa de Santa Marína de Cabral,lugares,37,Edificios singulares,Arquitectura relixiosa,Parroquia de Cabral,36218,,,"O adro da Igrexa é hoxe en día unha dos centros de reunión da parroquia, mostra diso é que o palco da música se situou nesta zona.",http://www.turismodevigo.org/sites/turismodevigo/files/lug290.jpg,42.2232740248728,-8.65673266263812,,gl-ES
8655,Igrexa de San Cristobal de Candeán,lugares,37,Edificios singulares,Arquitectura relixiosa,"Camino de la Goleta, 1",36217,,,"No interior consérvanse pequenos talles de gran valor como a de San Cristóbal, de principios do s. XVIII e de estilo barroco, ou a de San Benito.",http://www.turismodevigo.org/sites/turismodevigo/files/lug291.jpg,42.2418578743122,-8.66516336412958,,gl-ES
8645,Monumento a Mendez Núñez,lugares,39,Monumentos,Escultura,Plaza de Compostela,36201,,,"O pedestal foi deseñado por Jenaro de la Fuente Domínguez e a escultura é de Agustín Querol, nela represéntase ao almirante cun xesto airoso e de mando cuns prismáticos e un sabre nunha man e coa outra estendida.",http://www.turismodevigo.org/sites/turismodevigo/files/lug280.jpg,42.2392421644792,-8.72364420254209,,gl-ES
8644,Monumento a Martín Codax,lugares,39,Monumentos,Escultura,Monte do Castro,36203,,,"Está composto por unha pedra do mar situada no medio dun estanque; mar ao que cantou o Poeta. Podemos observar, sobre a pedra, unha placa de bronce que di: íA cidade de Vigo ao seu cantor Martín Códax, trobador e Xograr do século XVIII""",http://www.turismodevigo.org/sites/turismodevigo/files/lug279.jpg,42.2302668244403,-8.72734555311601,,gl-ES
8633,Monumento a la mujer,lugares,39,Monumentos,Escultura,Jardines de las Avenidas,36201,,,"Monumento situado en Las Avenidas, diante do Real Club Náutico. Obra do escultor vigués Xesús Valverde Alonso. Foi instalado en 1992 como unha homenaxe de Vigo á muller e consta de dúas figuras en bronce sobre un pedestal de granito.",http://www.turismodevigo.org/sites/turismodevigo/files/lug268.jpg,42.2407458315668,-8.7229368735407,,gl-ES
8634,Monumento a los marineros muertos en el mar,lugares,39,Monumentos,Escultura,Plaza del Puerto Pesquero,36202,,,"Obra escultórica de Cándido Pazos López, inaugurada en xuño de 2006. Trátase dun bloque de pedra morena -duns 8m de alto por 1í20 m de ancho- esculpida en espiral, cun rosetón de xade, que simula unha especie de onda.",http://www.turismodevigo.org/sites/turismodevigo/files/lug269.jpg,42.2363260863045,-8.73144713472506,,gl-ES
8636,Monumento al emigrante,lugares,39,Monumentos,Escultura,Avenida de Castelao,36208,,,"O monumento, en granito, está formado por un plinto no que se apoia un pedestal; sobre el levántase un grupo composto por pai, nai e fillo que se abrazan nunha emotiva escena de reencontro.",http://www.turismodevigo.org/sites/turismodevigo/files/lug271.jpg,42.2207029340442,-8.73391082737515,,gl-ES
8637,Monumento al empuje vigués,lugares,39,Monumentos,Escultura,Monte O Castro,36202,,,"Monumento en pedra, obra de Camilo Nogueira inaugurada en 1966 e situada no parque do Castro, representa unha barca que avanza na que tres atletas levantan o escudo de Vigo simbolizando o pulo e a unión.",http://www.turismodevigo.org/sites/turismodevigo/files/lug272.jpg,42.2317347939045,-8.72646354186178,,gl-ES
8638,Monumento al Herrero,lugares,39,Monumentos,Escultura,Plaza Eugenio Fradrique,36208,,,"Consiste nun obreiro traballando con xesto de martelar sobre unha peza. Está composto por diferentes pezas de ferro, ensambladas unha a unha íin situí polo escultor, Guillermo Steinbrüggen. Inaugurouse en 1970.",http://www.turismodevigo.org/sites/turismodevigo/files/lug273.jpg,42.2245480874109,-8.73648630760391,,gl-ES
8635,Monumento a Laxeiro,lugares,39,Monumentos,Escultura,Policarpo Sanz esquina Reconquista,36202,,,"Obra de Xurxo Vázquez situada na confluencia das rúas Policarpo Sánz e Reconquista, inaugurouse en 1997. Trátase dun busto de Don José Otero Abeledo íLaxeiroí, pintor universal vigués.",http://www.turismodevigo.org/sites/turismodevigo/files/lug270.jpg,42.2377020891736,-8.72303174824743,,gl-ES
